location_id,location_name,region,state,location_type
221,Croydon,Queensland - Outback,QLD,Very Remote Australia
222,Gladstone,Central Queensland,QLD,Outer Regional Australia
223,Hope Vale,Queensland - Outback,QLD,Remote Australia
224,Richmond Valley,Richmond - Tweed,NSW,Outer Regional Australia
225,Wollondilly,Illawarra,NSW,Inner Regional Australia
226,Southern Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
227,Toowoomba,Darling Downs - Maranoa,QLD,Inner Regional Australia
228,Cassowary Coast,Cairns,QLD,Outer Regional Australia
229,North Burnett,Wide Bay,QLD,Outer Regional Australia
230,Mount Isa,Queensland - Outback,QLD,Remote Australia
231,Isaac,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
232,Western Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
233,Scenic Rim,Logan - Beaudesert,QLD,Outer Regional Australia
234,Charters Towers,Townsville,QLD,Outer Regional Australia
235,Moreton Bay,Moreton Bay - North,QLD,Inner Regional Australia
236,Blayney,Central West,NSW,Outer Regional Australia
237,Gympie,Wide Bay,QLD,Outer Regional Australia
238,Livingstone,Central Queensland,QLD,Inner Regional Australia
239,Moreton Bay,Moreton Bay - South,QLD,Inner Regional Australia
240,Cloncurry,Queensland - Outback,QLD,Very Remote Australia
241,Brisbane,Brisbane Inner City,QLD,Major Cities of Australia
242,Brisbane,Ipswich,QLD,Major Cities of Australia
243,Central Darling,Far West and Orana,NSW,Very Remote Australia
244,Junee,Riverina,NSW,Inner Regional Australia
245,Bogan,Far West and Orana,NSW,Very Remote Australia
246,The Hills Shire,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
247,South Burnett,Wide Bay,QLD,Inner Regional Australia
248,Mareeba,Queensland - Outback,QLD,Very Remote Australia
249,Central Highlands (Qld),Central Queensland,QLD,Remote Australia
250,Douglas,Cairns,QLD,Outer Regional Australia
251,Ipswich,Ipswich,QLD,Inner Regional Australia
252,McKinlay,Queensland - Outback,QLD,Very Remote Australia
253,South Gippsland,Latrobe - Gippsland,VIC,Inner Regional Australia
254,Melton,Melbourne - West,VIC,Major Cities of Australia
255,Corangamite,Warrnambool and South West,VIC,Inner Regional Australia
256,Mornington Peninsula,Mornington Peninsula,VIC,Major Cities of Australia
257,Yarra Ranges,Melbourne - Outer East,VIC,Major Cities of Australia
258,Whittlesea,Melbourne - North East,VIC,Major Cities of Australia
259,Greater Geelong,Geelong,VIC,Major Cities of Australia
260,Maroondah,Melbourne - Outer East,VIC,Major Cities of Australia
261,Latrobe (Vic.),Latrobe - Gippsland,VIC,Inner Regional Australia
262,Stonnington,Melbourne - Inner,VIC,Major Cities of Australia
263,Warrnambool,Warrnambool and South West,VIC,Inner Regional Australia
264,Monash,Melbourne - South East,VIC,Major Cities of Australia
265,Murrindindi,Melbourne - North East,VIC,Inner Regional Australia
266,Greater Geelong,Geelong,VIC,Inner Regional Australia
267,Loddon,Bendigo,VIC,Inner Regional Australia
268,Greater Shepparton,Shepparton,VIC,Inner Regional Australia
269,Macedon Ranges,Bendigo,VIC,Inner Regional Australia
270,Mildura,North West,VIC,Outer Regional Australia
271,Towong,Hume,VIC,Outer Regional Australia
272,Greater Bendigo,Bendigo,VIC,Inner Regional Australia
273,Moorabool,Ballarat,VIC,Inner Regional Australia
274,Macedon Ranges,Melbourne - North West,VIC,Inner Regional Australia
275,Golden Plains,Geelong,VIC,Inner Regional Australia
276,Kingston (Vic.),Melbourne - South East,VIC,Major Cities of Australia
277,Glenelg,Warrnambool and South West,VIC,Outer Regional Australia
278,Knox,Melbourne - Outer East,VIC,Major Cities of Australia
279,Darebin,Melbourne - North East,VIC,Major Cities of Australia
280,Wyndham,Melbourne - West,VIC,Major Cities of Australia
281,Tablelands,Cairns,QLD,Outer Regional Australia
282,Noosa,Sunshine Coast,QLD,Major Cities of Australia
283,Maranoa,Darling Downs - Maranoa,QLD,Remote Australia
284,South Burnett,Wide Bay,QLD,Outer Regional Australia
285,Hinchinbrook,Townsville,QLD,Outer Regional Australia
286,Liverpool,Sydney - South West,NSW,Inner Regional Australia
287,Uralla,New England and North West,NSW,Inner Regional Australia
288,Northern Beaches,Sydney - Northern Beaches,NSW,Inner Regional Australia
289,Uralla,New England and North West,NSW,Outer Regional Australia
290,Kyogle,Richmond - Tweed,NSW,Outer Regional Australia
291,Strathbogie,Hume,VIC,Inner Regional Australia
292,Nillumbik,Melbourne - North East,VIC,Inner Regional Australia
293,Brimbank,Melbourne - West,VIC,Major Cities of Australia
294,Moyne,Warrnambool and South West,VIC,Inner Regional Australia
295,Ararat,North West,VIC,Inner Regional Australia
296,Greater Dandenong,Melbourne - South East,VIC,Major Cities of Australia
297,East Gippsland,Latrobe - Gippsland,VIC,Outer Regional Australia
299,Cardinia,Melbourne - South East,VIC,Inner Regional Australia
300,Melbourne,Melbourne - Inner,VIC,Major Cities of Australia
301,Horsham,North West,VIC,Outer Regional Australia
302,Moira,Shepparton,VIC,Inner Regional Australia
303,Wellington,Latrobe - Gippsland,VIC,Inner Regional Australia
304,Ballarat,Ballarat,VIC,Inner Regional Australia
305,Colac Otway,Warrnambool and South West,VIC,Inner Regional Australia
306,Bayside (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
307,East Gippsland,Latrobe - Gippsland,VIC,Remote Australia
308,Cardinia,Melbourne - South East,VIC,Major Cities of Australia
309,Frankston,Mornington Peninsula,VIC,Major Cities of Australia
310,Warrumbungle Shire,Central West,NSW,Outer Regional Australia
311,Bourke,Far West and Orana,NSW,Very Remote Australia
312,Bathurst Regional,Central West,NSW,Outer Regional Australia
313,The Hills Shire,Sydney - Parramatta,NSW,Major Cities of Australia
314,Muswellbrook,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
315,Federation,Riverina,NSW,Outer Regional Australia
316,Carrathool,Riverina,NSW,Outer Regional Australia
317,Upper Lachlan Shire,Capital Region,NSW,Outer Regional Australia
318,Richmond Valley,Coffs Harbour - Grafton,NSW,Outer Regional Australia
319,Coolamon,Riverina,NSW,Inner Regional Australia
320,Northern Grampians,North West,VIC,Outer Regional Australia
321,Corangamite,Warrnambool and South West,VIC,Outer Regional Australia
322,Indigo,Hume,VIC,Inner Regional Australia
323,West Wimmera,North West,VIC,Outer Regional Australia
324,Campaspe,Shepparton,VIC,Inner Regional Australia
325,Benalla,Hume,VIC,Outer Regional Australia
326,Buloke,North West,VIC,Outer Regional Australia
327,Southern Grampians,Warrnambool and South West,VIC,Outer Regional Australia
328,Manningham,Melbourne - Outer East,VIC,Major Cities of Australia
329,Whitehorse,Melbourne - Inner East,VIC,Major Cities of Australia
330,Wellington,Latrobe - Gippsland,VIC,Outer Regional Australia
331,Casey,Melbourne - South East,VIC,Major Cities of Australia
332,Rockhampton,Central Queensland,QLD,Outer Regional Australia
333,Gold Coast,Gold Coast,QLD,Inner Regional Australia
334,Charters Towers,Townsville,QLD,Very Remote Australia
335,Cook,Queensland - Outback,QLD,Very Remote Australia
336,Toowoomba,Darling Downs - Maranoa,QLD,Outer Regional Australia
337,Mitchell,Hume,VIC,Inner Regional Australia
338,Pyrenees,Ballarat,VIC,Inner Regional Australia
339,Mount Alexander,Bendigo,VIC,Inner Regional Australia
340,Yarra Ranges,Melbourne - Outer East,VIC,Inner Regional Australia
341,Stonnington,Melbourne - Inner South,VIC,Major Cities of Australia
342,Darebin,Melbourne - Inner,VIC,Major Cities of Australia
343,Whitehorse,Melbourne - Outer East,VIC,Major Cities of Australia
344,Ararat,North West,VIC,Outer Regional Australia
345,Kingston (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
346,Hobsons Bay,Melbourne - West,VIC,Major Cities of Australia
347,Mansfield,Hume,VIC,Outer Regional Australia
348,Somerset,Moreton Bay - North,QLD,Outer Regional Australia
349,Flinders (Qld),Queensland - Outback,QLD,Very Remote Australia
350,Livingstone,Central Queensland,QLD,Remote Australia
351,Bass Coast,Latrobe - Gippsland,VIC,Inner Regional Australia
352,Hume,Melbourne - North West,VIC,Major Cities of Australia
353,Glen Eira,Melbourne - Inner South,VIC,Major Cities of Australia
354,Maribyrnong,Melbourne - West,VIC,Major Cities of Australia
355,Lockyer Valley,Toowoomba,QLD,Inner Regional Australia
356,Whitsunday,Mackay - Isaac - Whitsunday,QLD,Remote Australia
357,Wollondilly,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
358,Surf Coast,Geelong,VIC,Inner Regional Australia
359,Baw Baw,Latrobe - Gippsland,VIC,Inner Regional Australia
360,Casey,Melbourne - South East,VIC,Inner Regional Australia
361,Moonee Valley,Melbourne - Inner,VIC,Major Cities of Australia
362,Boroondara,Melbourne - Inner East,VIC,Major Cities of Australia
363,Burdekin,Townsville,QLD,Outer Regional Australia
364,Cassowary Coast,Cairns,QLD,Remote Australia
365,Goondiwindi,Darling Downs - Maranoa,QLD,Outer Regional Australia
366,Western Downs,Darling Downs - Maranoa,QLD,Remote Australia
367,Murweh,Queensland - Outback,QLD,Very Remote Australia
368,Bundaberg,Wide Bay,QLD,Outer Regional Australia
369,Yarriambiack,North West,VIC,Outer Regional Australia
370,Whittlesea,Melbourne - North East,VIC,Inner Regional Australia
371,Murrindindi,Hume,VIC,Inner Regional Australia
372,Moyne,Warrnambool and South West,VIC,Outer Regional Australia
373,Mornington Peninsula,Mornington Peninsula,VIC,Inner Regional Australia
374,Loddon,Bendigo,VIC,Outer Regional Australia
375,Hepburn,Ballarat,VIC,Inner Regional Australia
376,Lockyer Valley,Ipswich,QLD,Inner Regional Australia
377,Mareeba,Queensland - Outback,QLD,Outer Regional Australia
378,Barcoo,Queensland - Outback,QLD,Very Remote Australia
379,Wingecarribee,Sydney - Outer South West,NSW,Inner Regional Australia
380,Walgett,Far West and Orana,NSW,Very Remote Australia
381,Moorabool,Melbourne - West,VIC,Inner Regional Australia
382,Moira,Shepparton,VIC,Outer Regional Australia
383,Port Phillip,Melbourne - Inner,VIC,Major Cities of Australia
384,Moreland,Melbourne - North West,VIC,Major Cities of Australia
385,Yass Valley,Capital Region,NSW,Major Cities of Australia
386,Murray River,Murray,NSW,Remote Australia
387,Coonamble,Far West and Orana,NSW,Remote Australia
388,Randwick,Sydney - City and Inner South,NSW,Major Cities of Australia
389,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
390,Kiama,Illawarra,NSW,Major Cities of Australia
391,Lockhart,Riverina,NSW,Outer Regional Australia
392,Cobar,Far West and Orana,NSW,Remote Australia
393,Queanbeyan-Palerang Regional,Capital Region,NSW,Outer Regional Australia
394,Gannawarra,North West,VIC,Outer Regional Australia
395,Wyndham,Melbourne - West,VIC,Inner Regional Australia
396,Hindmarsh,North West,VIC,Outer Regional Australia
397,Wangaratta,Hume,VIC,Inner Regional Australia
398,Unincorporated Vic,Latrobe - Gippsland,VIC,Outer Regional Australia
399,Mitchell,Melbourne - North East,VIC,Inner Regional Australia
400,Colac Otway,Warrnambool and South West,VIC,Outer Regional Australia
401,Brisbane,Ipswich,QLD,Inner Regional Australia
402,Scenic Rim,Gold Coast,QLD,Inner Regional Australia
403,Charters Towers,Townsville,QLD,Remote Australia
404,Etheridge,Queensland - Outback,QLD,Very Remote Australia
405,Redland,Brisbane - East,QLD,Remote Australia
406,Mount Isa,Queensland - Outback,QLD,Very Remote Australia
407,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
408,Yarra,Melbourne - Inner,VIC,Major Cities of Australia
409,Towong,Hume,VIC,Inner Regional Australia
410,Hay,Murray,NSW,Outer Regional Australia
411,Mareeba,Cairns,QLD,Outer Regional Australia
412,Central Highlands (Qld),Central Queensland,QLD,Very Remote Australia
413,Mosman,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
414,Banyule,Melbourne - North East,VIC,Major Cities of Australia
415,Moonee Valley,Melbourne - North West,VIC,Major Cities of Australia
416,Manningham,Melbourne - Inner East,VIC,Major Cities of Australia
417,Liverpool,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
418,Cook,Queensland - Outback,QLD,Remote Australia
419,Banana,Central Queensland,QLD,Remote Australia
420,Southern Grampians,Warrnambool and South West,VIC,Inner Regional Australia
421,Northern Grampians,North West,VIC,Inner Regional Australia
422,Central Goldfields,Ballarat,VIC,Inner Regional Australia
423,Southern Downs,Darling Downs - Maranoa,QLD,Outer Regional Australia
424,Hinchinbrook,Townsville,QLD,Remote Australia
425,Livingstone,Central Queensland,QLD,Outer Regional Australia
426,Northern Peninsula Area,Queensland - Outback,QLD,Very Remote Australia
427,Tablelands,Cairns,QLD,Remote Australia
428,Bulloo,Queensland - Outback,QLD,Very Remote Australia
429,Douglas,Cairns,QLD,Remote Australia
430,Nillumbik,Melbourne - North East,VIC,Major Cities of Australia
431,Yarriambiack,North West,VIC,Remote Australia
433,Mildura,North West,VIC,Remote Australia
435,Mitchell,Melbourne - North East,VIC,Major Cities of Australia
436,Brimbank,Melbourne - North West,VIC,Major Cities of Australia
437,Moreland,Melbourne - Inner,VIC,Major Cities of Australia
438,Wollondilly,Sydney - Outer South West,NSW,Major Cities of Australia
439,Alpine,Hume,VIC,Inner Regional Australia
440,Balonne,Darling Downs - Maranoa,QLD,Remote Australia
441,Dungog,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
442,Armadale,Perth - South East,WA,Inner Regional Australia
443,Harvey,Bunbury,WA,Inner Regional Australia
444,Gosnells,Perth - South East,WA,Major Cities of Australia
445,Kojonup,Western Australia - Wheat Belt,WA,Outer Regional Australia
446,Carnarvon,Western Australia - Outback (South),WA,Very Remote Australia
447,Armadale,Perth - South East,WA,Major Cities of Australia
448,Busselton,Bunbury,WA,Inner Regional Australia
449,Beverley,Western Australia - Wheat Belt,WA,Outer Regional Australia
450,Peppermint Grove,Perth - Inner,WA,Major Cities of Australia
